"","id","street_name","city_name","road_class","pruid","prname","cmapuid","cmaname","road_length","large_city","business_count","per_business_density","per_civic_density","per_employment_density","per_business_independence_index","per_population_change","per_population_density","per_visible_minorities","per_indigenous","per_immigrants_non_permanent_residents","per_average_employment_income","per_pre1960","per_61_00","per_00_23","Detached_Housing","Mid_Density","Highrise_Apt","per_surface_Parking_lots","per_surface_Parking_area","urban_form","street_content","housing","demos","sim_index","Not.Eligible","civic_count","surface_Parking_lots","surface_Parking_area","gas_stations","Residential","Commercial","Mixed.Use","total_sites"
"1","995","118 Avenue North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",80.629083694942,1,2,0.476903161037211,0.275141011584746,0.757420445689074,1,0.241788713862348,0.908878215766285,0.896395839702353,0.830950507028145,0.872433149688758,0.402448928179579,0.931914532813295,0.281287095133119,0.124194505680855,0.742877734441241,0.512357978633203,0.367856537222316,0.630511276920468,0.630511276920468,0.902463288971764,0.667178190534421,0.747401354713435,0.722153166793186,0.759799000253201,8,0,0,0,0,84,5,1,90
"2","997","118 Avenue North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",77.1505046962724,1,3,0.634677621758715,0.987834035639275,0.806269236357872,0.703676091070712,0.241788713862348,0.908878215766285,0.896395839702353,0.830950507028145,0.872433149688758,0.402448928179579,0.931914532813295,0.281287095133119,0.124194505680855,0.742877734441241,0.512357978633203,0.367856537222316,0.630511276920468,0.630511276920468,0.872037694854537,0.683330589250745,0.747401354713435,0.722153166793186,0.756230701402976,2,12,0,0,0,16,2,5,35
"3","1000","Groat Road North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",52.1747620504466,1,2,0.629327767723868,0.840362997503401,0.872184721873638,1,0.244684644802696,0.906577637204943,0.892808591183759,0.822784069104131,0.870715953661725,0.410500425943789,0.915847040868238,0.306278616245549,0.158724775309479,0.697091741563507,0.587417330846193,0.367856537222316,0.630511276920468,0.630511276920468,0.828300834227877,0.732047147725493,0.76550994152563,0.716697301146285,0.760638806156321,3,2,0,0,0,6,0,0,8
"4","1005","111 Avenue North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",71.4691842930405,1,4,0.757090207785689,0.592327913028546,0.640793627729416,1,0.250359685690043,0.889376989007985,0.893722477705722,0.753800271889371,0.876875743955665,0.728960531418741,0.752204510768187,0.463371205697812,0.404421739867729,0.659021536374428,0.643250805494319,0.367856537222316,0.630511276920468,0.630511276920468,0.905725535912794,0.84315080095197,0.673019188668744,0.583253896243847,0.751287355444339,2,1,0,0,0,0,8,0,9
"5","1006","111 Avenue North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",71.9848949834473,1,4,0.755148408913782,0.59075598060843,0.638904666922051,1,0.261328562118026,0.896896984842864,0.899348896506417,0.750944783041388,0.883643707842512,0.712903942217493,0.752204510768187,0.463371205697812,0.404421739867729,0.659021536374428,0.643250805494319,0.367856537222316,0.630511276920468,0.630511276920468,0.902749769245882,0.842658060038608,0.673019188668744,0.588682456803233,0.751777368689117,8,1,0,0,0,52,8,0,61
"6","1033","101 Street North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",52.2165221535273,1,4,0.839398702825516,0.999749019193427,0.690250056140444,0.654384355106956,0.00891528633440317,0.893291551963139,0.947736098192391,0.839481198654863,0.925406045310559,0.210286956838801,0.709555706291335,0.448660335763948,0.489804137697134,0.44232236730541,0.73539511616076,0.595684246226895,0.630511276920468,0.630511276920468,0.843001787466753,0.689892215614334,0.653652377554736,0.839639752144038,0.756546533194965,0,35,0,0,0,0,0,0,35
"7","1034","101 Street North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",88.6439049316318,1,6,0.809862224746708,0.998930029193031,0.82426059733432,0.721855823822905,0.00852178404102261,0.8928262298496,0.947862936535297,0.838102238208912,0.926394733932184,0.206378881143452,0.709555706291335,0.448660335763948,0.489804137697134,0.44232236730541,0.73539511616076,0.595684246226895,0.630511276920468,0.630511276920468,0.809586828676353,0.700572431039344,0.653652377554736,0.84166927875038,0.751370229005203,4,35,0,0,0,10,10,0,55
"8","1052","111 Avenue North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",64.0150873468338,1,5,0.843850309763153,0.963792716272803,0.586555354477366,0.631946435740093,0.00858326877436332,0.893141867926616,0.949115058638342,0.834752405050117,0.927110232276781,0.205696045186504,0.718458538239783,0.350962353739189,0.559352212989656,0.47248600983551,0.754557402068849,0.535611327793794,0.630511276920468,0.630511276920468,0.827171747244028,0.70098201279096,0.666263314652526,0.841034530369625,0.758862901264285,1,6,0,0,0,0,3,0,9
"9","1058","Kingsway Avenue North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",106.168053632347,1,6,0.759877415690263,0.836637913953212,0.632524470628641,0.711733669782646,0.0289285670368048,0.923221851266132,0.964016937797176,0.804935637671638,0.950250099194089,0.21758269441765,0.618640834322537,0.657622519925386,0.417415635068679,0.34305579108021,0.889096150585043,0.482024758351704,0.630511276920468,0.630511276920468,0.858002809473019,0.778134454327809,0.566452702638525,0.82350533888483,0.756523826331046,10,4,0,0,0,18,1,1,24
"10","1059","97 Street North-West","Edmonton","Collector","48","Alberta","48835","Edmonton",96.5804331312839,1,6,0.788264665865289,0.519596317186901,0.511630978957241,0.718414864942364,0.00861401114103368,0.934269183961681,0.949345969467734,0.828338938070366,0.931943098368013,0.238283231073677,0.653828217737833,0.579425979311514,0.449635407834492,0.403319484483636,0.797269798202476,0.574635407834492,0.630511276920468,0.630511276920468,0.803557751111665,0.882010519673497,0.604236016560796,0.819442647953446,0.777311733824851,43,1,0,0,0,110,39,5,155
